date,total_cost,emergency,net_mae,peak_net,initial_soc,median_cost_distance
2025-07-27,55803.60482691659,339.1819521870515,41.02303321155847,991.0390833333333,10538.574463658559,12324.53964408346
2025-07-28,55214.909556877654,30.455922430959006,49.24557560763273,1095.0097166666667,10465.081040845304,11735.844374044522
2025-07-29,56295.75084648742,0.0,45.71378939791011,1017.5633333333333,10135.86133667189,12816.685663654287
2025-07-30,56382.73429264829,2.76319859124726,40.32587108865988,1034.3043499999999,10800.0,12903.669109815157
2025-07-31,53230.01907947131,1.6418457305086775,34.696831990050626,1063.3107166666666,10714.098381438143,9750.95389663818
2025-08-01,27934.571074238847,83.55820545694769,64.2289773634497,725.0833333333333,5447.693633820818,15544.494108594285
2025-08-02,27918.461135569538,92.76355122101972,62.45917801000652,816.2366666666667,5355.12828270417,15560.604047263594
2025-08-03,51694.774205531896,135.64248742619802,81.70853893678621,1028.0321166666665,8685.251624566441,8215.709022698764
2025-08-04,51060.46724809957,35.3026518300361,51.610702824999834,1040.3413333333333,8216.20305898436,7581.40206526644
2025-08-05,49779.77438270976,9.95211746959967,44.83415063644762,996.91815,8844.458735702388,6300.709199876626
2025-08-06,50968.343188504914,548.0337376721066,49.12870607288895,1026.8052666666667,8779.813284458545,7489.278005671782
2025-08-07,45076.27009962276,29.251538421769965,46.02309787763059,1004.0182999999998,8146.199349706882,1597.2049167896257
2025-08-08,24899.222447675318,11.779791363811455,52.27737600396303,720.2655166666666,2243.8746887160614,18579.842735157814
2025-08-09,28131.163099891102,0.0,37.49836996121064,764.66,1898.9843988775667,15347.90208294203
2025-08-10,46538.73534627057,26.097382397501406,42.55449627879206,1018.6405833333333,8998.445149588706,3059.6701634374404
2025-08-11,47022.66742191318,10.116782627780452,40.73203404479072,1003.30215,8737.358181471005,3543.60223908005
2025-08-12,50103.11611952434,457.0080214533852,45.01802161610728,1045.7027166666667,8578.770136137426,6624.050936691208
2025-08-13,48570.699881715664,151.3528466594739,43.37433191271616,1082.2735666666665,8537.212519545983,5091.634698882532
2025-08-14,46783.71062095541,530.8542944400098,39.664610590633494,1055.1011166666667,9864.6520603367,3304.6454381222793
2025-08-15,25578.33211083871,236.23746535642928,44.45269941358621,730.1160499999999,2869.51432267013,17900.733071994422
