date,path,n,absolute_error_sum_kw,squared_error_sum_kw2,econ_loss_sum
2025-08-20,separate_strong_baselines,144,55946.528671428576,37939620.320550248,17181.825755207617
2025-08-21,direct_net_week,144,48005.897600000004,32587428.652275309,7813.30384228
2025-08-21,separate_strong_baselines,144,39742.948728571435,20410953.556887463,6386.5915368566684
2025-08-22,direct_net_week,144,48688.164900000003,29830357.042652879,7776.4254720966646
2025-08-22,separate_strong_baselines,144,39084.838942857139,16638919.92737985,7180.5446264476159
2025-08-23,direct_net_week,144,50217.056899999996,41436800.46958448,4814.2500355466636
2025-08-23,separate_strong_baselines,144,37867.41435714285,20754632.506245773,4037.8344862197609
2025-08-24,direct_net_week,144,49794.84120000001,35015376.714096501,10753.875903660002
2025-08-24,separate_strong_baselines,144,44843.413085714303,28651915.085276246,9007.2795654311922
2025-08-25,direct_net_week,144,63586.602800000001,56759639.72170946,14791.609601403332
2025-08-25,separate_strong_baselines,144,47180.501071428575,27937384.58431682,11828.78938269333
2025-08-26,direct_net_week,144,41948.581399999995,21979956.782382019,11067.277446716667
2025-08-26,separate_strong_baselines,144,35206.06432857144,15284445.123586126,7525.2700850973815
2025-08-27,direct_net_week,144,43299.991400000014,25404140.175175827,9058.6187181666683
2025-08-27,separate_strong_baselines,144,33416.439599999998,13165565.208810311,9774.6458625871419
2025-08-28,direct_net_week,144,59997.84859999999,56714466.340042122,16840.781777426666
2025-08-28,separate_strong_baselines,144,55459.47407142858,49987189.417992555,11496.798751066905
2025-08-29,direct_net_week,144,47749.12490000001,28957838.314111993,7349.3443984933292
2025-08-29,separate_strong_baselines,144,37007.502357142846,15995883.586675532,6096.8883202740435
2025-08-30,direct_net_week,144,55977.529500000004,52615621.221548855,5636.5920997000003
2025-08-30,separate_strong_baselines,144,46672.621657142852,32152883.521675177,4330.4916577221429
2025-08-31,direct_net_week,144,51598.200600000011,38517339.651951611,7158.9658164550001
2025-08-31,separate_strong_baselines,144,36363.7451,14586617.702911261,6270.0633329383363
2025-09-01,direct_net_week,144,105584.0465,106654889.40357026,10646.776537113334
2025-09-01,separate_strong_baselines,144,93447.323900000003,75195829.213367075,10206.321295157382
2025-09-02,direct_net_week,144,83064.933799999999,68335679.844751269,9986.0556692049995
2025-09-02,separate_strong_baselines,144,87045.077042857156,72379697.091181085,10051.606465669764
2025-09-03,direct_net_week,144,78098.376300000004,60061493.660328269,9856.9687069549982
2025-09-03,separate_strong_baselines,144,70447.125885714297,47384026.045942858,8424.8489817802383
2025-09-04,direct_net_week,144,106463.5958,131661907.82852487,9635.578853555
2025-09-04,separate_strong_baselines,144,86151.377500000002,72455464.737250075,8512.06021515881
2025-09-05,direct_net_week,144,97729.762100000022,78386961.073588461,7349.9300921749982
2025-09-05,separate_strong_baselines,144,88398.479614285723,69277285.533451408,7215.7932800723802
2025-09-06,direct_net_week,144,115280.16539999998,114091362.6917206,9232.8159732749991
2025-09-06,separate_strong_baselines,144,108937.94082857142,104181311.73046449,8491.4763038026176
2025-09-07,direct_net_week,144,84850.967999999993,66347457.523481712,11589.261688446666
2025-09-07,separate_strong_baselines,144,78079.251528571433,58389522.527202189,10688.37971437857
2025-09-08,direct_net_week,144,51302.799000000006,39576519.422093369,15622.772664548336
2025-09-08,separate_strong_baselines,144,45806.90668571429,29398759.954772942,12101.306092585712
2025-09-09,direct_net_week,144,44794.158500000005,28782205.638031214,11783.325818418336
2025-09-09,separate_strong_baselines,144,40653.062900000004,20319848.740248729,8585.14206628381
2025-09-10,direct_net_week,144,57145.212599999999,44799876.286361396,17534.832193409995
2025-09-10,separate_strong_baselines,144,56015.263885714288,42904967.543494791,14742.106295738569
2025-09-11,direct_net_week,144,39976.108200000002,24650864.644921735,7891.8367396616686
2025-09-11,separate_strong_baselines,144,34019.288842857139,18877526.250921398,7581.0554251095236
2025-09-12,direct_net_week,144,43840.53100000001,24250298.692868389,7441.2993681966655
2025-09-12,separate_strong_baselines,144,30580.997657142856,12014139.692325525,6114.2428241404768
2025-09-13,direct_net_week,144,52203.53850000001,35450697.105951004,7487.942435181667
2025-09-13,separate_strong_baselines,144,40515.226571428575,23164602.711403742,6253.8287210430954
2025-09-14,direct_net_week,144,43121.584199999998,21002913.742076576,13600.047328035
2025-09-14,separate_strong_baselines,144,39114.434971428564,19987407.473767154,9286.4820640621438
