date,execution_budget,K,M,S,selected,status,reliable,objective_yuan,lower_bound_yuan,gap,seconds,continuous_before,binary_before,constraints_before,continuous_after,binary_after,constraints_after,solver,version,audit_file
2025-02-22,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,15770.681711942898,15647.761796657205,0.0078554311398037636,1.7496153749998484,52848,28224,112896,47832,22956,94878,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-22.json
2025-02-22,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,62947.459943902599,62653.617230959848,0.004689956078027537,5.3032825000009325,101952,54432,217728,95061,47298,193164,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-22.json
2025-02-22,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,109634.30179990803,108981.41104077228,0.0059908451624974476,8.4653323339989583,147312,78624,314496,138554,69632,283414,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-22.json
2025-02-23,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,44601.387285065844,44391.414404305367,0.0047300335791984234,2.7914712080018944,52848,28224,112896,50796,25920,105252,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-23.json
2025-02-23,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,91515.881065255599,91046.922839938547,0.0051507311910088992,5.6183212080013618,101952,54432,217728,97853,50090,202936,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-23.json
2025-02-23,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,138483.44200109006,137635.883202047,0.0061579784233946021,9.0202767500013579,147312,78624,314496,141354,72432,293214,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-23.json
2025-02-24,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,44176.140492614228,43950.722024435046,0.0051288911261538894,2.9416231670002162,52848,28224,112896,50664,25788,104790,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-24.json
2025-02-24,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,91200.682092669711,90815.489653748897,0.0042414839185411302,6.2038523759983946,101952,54432,217728,97777,50014,202670,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-24.json
2025-02-24,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,138071.43210359689,137350.68723659983,0.0052474791462492586,9.4806332079988351,147312,78624,314496,141202,72280,292682,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-24.json
2025-02-25,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,43935.900475581155,43712.887026001466,0.0051017780968581321,2.9762675000019954,52848,28224,112896,50652,25776,104748,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-25.json
2025-02-25,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,90772.210262580164,90331.387054620936,0.0048800668553077055,5.863361416000771,101952,54432,217728,97649,49886,202222,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-25.json
2025-02-25,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,136977.95013687192,136301.97960532663,0.0049593596035994161,9.8153955409998161,147312,78624,314496,141058,72136,292178,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-25.json
2025-02-26,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,43553.164096850436,43269.081201563386,0.0065654940525241897,2.9324957089993404,52848,28224,112896,50452,25576,104048,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-26.json
2025-02-26,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,89461.303392082147,88946.720550130776,0.0057852930245061674,5.9731312490002892,101952,54432,217728,97301,49538,201004,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-26.json
2025-02-26,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,107517.5383935877,106453.66985007093,0.009993723513854632,5.8233040420000179,147312,78624,314496,138150,69228,282000,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-26.json
2025-02-27,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,42810.921975332341,42529.954166699958,0.0066063510797849763,2.678427417000421,52848,28224,112896,50380,25504,103796,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-27.json
